n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
88187651,147.095067436,-41.5014313156,substation,0,,Hadspen Substation,Transend Networks,
61649117,147.112203161,-41.4229594997,generator,0,,Trevallyn Power Station,Transend Networks,
174441055,146.990339842,-41.7874582765,substation,0,,,,
303420374,152.959926204,-27.5797239557,substation,0,,Richlands Substation,,
46146107,153.03136456,-27.5989009519,substation,0,,Algester Substation,,
19388439,152.901545477,-27.5634925244,substation,0,,West Darra Substation,,
303417152,152.945053222,-27.557455435,substation,0,,Sumner Substation,,
162321863,152.778943582,-27.630762737,sub_station,0,,,,
19380255,152.812890042,-27.6603486371,generator,0,,Swanbank Power Station,,
372546567,153.019881768,-27.3333071493,substation,0,,,,
23171307,153.08302043,-27.3898321177,substation,0,,,,
233929226,146.309989508,-42.2544485345,station,0,,,,
435794582,146.457243661,-42.2978088061,substation,0,,Tungatinah Switchyard,,
23298443,147.254947615,-42.8431944328,station,0,,,,
23239876,147.291486884,-42.8596660324,station,0,,,Transend Networks,
175926350,147.076804107,-42.7799781183,station,0,,,,
233927398,147.280824656,-42.9895414047,station,0,,,,
233927458,147.073874352,-43.0229081968,station,0,,,,
374644110,153.020613388,-27.2730481846,substation,0,,,,
46056595,153.04794937,-27.220285654,substation,0,,,,
19384720,152.970254491,-27.3238514945,substation,0,,South Pine Substation,,
171582113,153.050125131,-27.3306483917,substation,0,,,,
308160583,152.277962113,-27.5367183606,substation,0,,Gatton North Substation,,
308160585,152.066263658,-27.5332523297,substation,0,,Postmans Ridge Substation,Powerlink,
66035178,152.452608145,-27.4994229176,substation,0,,Lockrose Substation,,
173223683,152.771132151,-27.5777745918,substation,0,,Abermain Substation,,
46305863,152.878034771,-27.6209864233,substation,0,,Goodna Substation,,
19386719,152.906028339,-27.4167964246,substation,0,,,,
26204314,152.851843322,-27.6405575901,sub_station,0,,Redbank Plains Substation,,
26230300,153.115192366,-27.5366060242,substation,0,,Belmont Substation,,
26161587,153.070243624,-27.5829847775,substation,0,,Runcorn Substation,,
307100131,153.384894157,-27.6659103905,substation,0,,,,
44418650,153.113263922,-27.4474428495,sub_station,0,,,,
234083162,145.69177668,-41.5991773722,station,0,,,,
234083164,145.482718776,-41.4888083776,substation,0,,,,
171575462,151.679461779,-27.4195761995,substation,0,,,,
171575468,151.669621169,-27.4795335292,substation,0,,,,
88191017,146.307028362,-41.3357265859,station,0,,,,
174431697,146.340871317,-41.195970663,substation,0,,Devonport Substation,,
175174348,146.162474505,-41.1715582887,station,0,,,,
167791635,145.891185596,-41.0768943368,substation,0,,Burnie Substation,Transend Networks,
46339655,153.037603661,-27.6625948713,substation,0,,,,
46099414,153.131484377,-27.6642112413,substation,0,,Loganlea Substation,,
172878761,151.944981378,-27.6226246203,substation,0,,Middle Ridge Substation,Powerlink,
258723245,147.406750168,-42.8606442682,station,0,,,,
168385464,147.44954644,-42.887366376,substation,0,,,,
176275951,146.631371765,-42.2617259498,station,0,,,,
173094501,151.943076226,-27.5848108374,sub_station,0,,South Toowoomba,,
220455286,151.89957699,-27.5564079695,sub_station,0,,,,
19388978,152.999559316,-27.5530663864,substation,0,,Rocklea Substation,,
302351763,153.008696621,-27.5575365952,substation,0,,Archerfield Substation,,
175927476,147.101215975,-42.7794460397,station,0,,,,
175926345,147.078815824,-42.7804710183,substation,0,,New Norfolk Substation,Transend Networks,
95612087,153.360598495,-27.9786372326,substation,0,,,,
125600603,153.376388834,-28.0696560375,substation,0,,Robina Substation,,
30471365,153.007724572,-27.5262642382,substation,0,,,,
48853232,153.004390128,-27.5307836626,substation,0,,,,
45020488,153.397717502,-28.0936175941,substation,0,,Mudgeeraba Substation,Powerlink,
171581686,153.50353033,-28.2411962487,substation,0,,Terranora Substation,,
155682345,153.489315387,-27.51854839,substation,0,,Stradbroke Island Substation,,
234083565,145.727358429,-41.2698191279,station,0,,,,
88199376,146.620510812,-42.2538032587,generator,0,,,,
234863481,147.523738359,-41.1650544936,station,0,,,,
234864299,147.811771732,-41.13384214,plant,0,,,,
234176499,145.130944589,-40.8480500517,sub_station,0,,,,
207655859,145.378015614,-40.8539311521,plant,0,,,,
99848705,150.951102602,-31.1468650314,substation,330000,50,Tamworth 330/132 subtransmission substation,TransGrid,
173730623,150.92492694,-31.1311541244,substation,132000,50,Tamworth 132/66 subtransmission substation,TransGrid,
366327501,150.339751732,-30.9774172789,substation,132000,50,Gunnedah subtransmission substation,TransGrid,
224200429,115.701247224,-33.3507411823,sub_station,0,,,,
224200769,116.059710001,-33.2371902949,sub_station,0,,,,
170709510,151.906625732,-26.7868766107,substation,0,,,,
171588475,150.645173752,-26.7446065286,substation,0,,Chinchilla Substation,Ergon Energy,
171582472,150.278485583,-26.6485480442,substation,0,,,,
171582471,150.269880481,-26.6681117925,plant,0,,Condamine Power Station,,
196363948,145.751791115,-16.9560233361,sub_station,0,,,,
194550809,145.687467689,-16.8661580152,sub_station,0,,,,
194550807,145.754800378,-16.9461763141,sub_station,0,,,,
189021048,145.435157231,-17.0629163281,sub_station,0,,132 kV Turkinje,,
173224446,145.973217965,-17.5351257629,sub_station,132000,,132 kV Innisfail,,
173224184,146.025560698,-17.8098719149,sub_station,132000,,132 kV El Arish,,
196583888,145.909497625,-17.9547595506,sub_station,132000,,132 kV Tully,,
196020053,145.750908934,-17.0024178174,substation,132000,,132 kV Edmonton,,
173396697,148.954681711,-32.5703159531,sub_station,0,,,,
169406848,148.963208638,-32.5271542724,sub_station,0,,Wellington substation,,
205012494,148.210347033,-21.6917670499,station,0,,,,
205012488,148.384470537,-21.5734601022,station,0,,,,
119871505,148.90544373,-34.8623645609,sub_station,0,,,,
344076960,149.216288609,-35.3397155794,substation,0,,,,
160191425,148.997054959,-35.2193810893,substation,0,,Canberra,,
214977199,149.109026975,-35.2695344272,substation,0,,,,
166192455,149.070313353,-35.3336731033,substation,0,,,,
163374878,149.10873471,-35.2462550296,substation,0,,Bruce Substation,,
192353822,144.861824639,-15.872376951,substation,132000;66000;22000,,Lakeland Substation,,
191779550,145.342537164,-16.6939878311,sub_station,0,,,,
232106017,149.117136638,-35.4596500799,substation,0,,,,
232109241,149.133378979,-35.5853017443,substation,0,,Williamsdale,,
230707206,149.521339629,-33.4303724991,substation,0,,,,
52054044,150.085544451,-33.4021657225,plant,0,,Wallerawang Power Station,Delta Electricity,
172230182,147.215375966,-35.1773042264,station,0,,,,
172231145,147.393596656,-35.2004608377,substation,0,,,,
234539007,151.773059208,-29.7067796894,substation,0,,Glen Innes subtransmission station,TransGrid,
160201298,151.712905724,-30.5327927335,substation,0,,Armidale Substation,TransGrid,
340560031,152.039131906,-29.0574362534,substation,0,,Tenterfield subtransmission station,TransGrid,
179921457,151.208632533,-33.72602344,substation,0,50,Belrose Substation,,
175862605,151.120301432,-33.6483734784,substation,0,,,,
179923658,151.030003681,-33.6557565187,substation,0,,,,
45727589,151.244155079,-33.7544502085,substation,0,,,,
224223242,115.821889438,-31.6816118971,sub_station,0,,,,
44192327,115.820536195,-31.5577397541,station,0,,,,
164764211,140.687555135,-36.9649866654,station,0,,,,
169687537,140.299058657,-36.1078738868,substation,0,,Keith substation,,
164675939,140.840514911,-37.7333495381,station,0,,ElectraNet South East Substation,,
267376693,150.175511374,-35.7179132169,substation,0,,Batemans Bay,Endeavour Energy,
267376695,150.398136614,-35.3366975051,substation,0,,Evans Lane Zone Substation,Endeavour Energy,
267376701,150.090732886,-35.875520937,substation,0,,,,
173102134,146.908341508,-35.9257032935,station,0,,,,
174835009,146.984699508,-35.9941137431,substation,0,,,,
174831245,146.952468592,-36.0539383665,substation,0,,,,
267376699,150.462803278,-35.3513367606,substation,0,,Ulladulla Zone Substation,Endeavour Energy,
267376698,150.592235133,-34.8906096841,substation,132000;33000,50,Shoalhaven Transmission Substation,Endeavour Energy,
174124088,151.044236803,-33.7824779821,substation,0,,,,
171746362,148.167216179,-20.0182700247,station,0,,,,
171744984,147.775461166,-20.5009425357,substation,0,,,,
366321212,149.855594103,-29.485227153,substation,132000,50,Moree subtransmission substation,TransGrid,
172891041,151.159290298,-29.7855406843,substation,0,,Inverell subtransmission station,,
366605305,149.797690082,-30.316933186,substation,132000,50,Narrabri subtransmission substation,TransGrid,
47069245,115.867435422,-31.9166611466,substation,0,,Mount Lawley sub-station,,
45402899,115.854156902,-31.9471854821,substation,0,,,,
145689826,115.896354921,-31.9051026885,substation,0,,,Western Power,
44187488,115.891816889,-31.8525333452,substation,0,,,,
171852863,152.681906579,-26.1962741642,station,0,,,,
72231236,152.92315983,-26.4335071053,station,0,,,,
170990862,152.43855649,-26.0898498876,station,0,,,,
312679496,142.184284606,-38.0646293091,station,0,,Macarthur Wind Farm Substation,,
312551365,142.178469442,-38.1775147625,station,0,,,,
48579657,116.01331414,-31.8892687871,substation,0,,,,
133353043,116.003599943,-31.9021632343,substation,0,,,,
47036496,151.065834474,-33.8789436007,substation,0,,,,
175920440,151.012977609,-33.978637164,substation,0,,Sydney South,Transgrid,
45553233,115.95742043,-32.0364452821,substation,0,,,,
37106603,115.942333992,-32.0188458724,station,0,,,,
171962240,152.932925158,-29.6160834176,substation,132000,50,Koolkhan subtransmission substation,TransGrid,
44140812,116.001968019,-31.9058770972,substation,0,,,,
214229754,115.98368167,-31.9678983269,substation,0,,,,
231510030,138.771496477,-34.4626123751,sub_station,0,,,,
170066302,138.966378784,-34.4918017427,sub_station,0,,,,
239698383,151.733539653,-32.9396044926,sub_station,0,,,,
24028364,151.561703509,-32.9276102954,substation,0,,Newcastle substation,,
167924823,137.576609151,-33.0096950403,substation,0,,,,
165154628,137.544482365,-32.9317293193,substation,0,,,,
224939099,115.953738807,-31.9749984532,substation,0,,Kewdale sub-station,,
224958207,115.935448145,-31.9554263067,substation,0,,Belmont sub-station,,
165170273,136.400623313,-33.6895539668,sub_station,0,,,,
165169360,135.80477336,-34.6998252565,station,0,,,,
171582050,153.068988265,-26.7088902827,substation,0,,Mooloolaba Substation,,
170840487,152.937000576,-26.7069898364,substation,0,,Palmwoods Substation,,
328503276,153.094125807,-26.6727289671,substation,0,,Alexandra Headlands Substation,Energex,
164682851,140.804664949,-37.8387427782,station,0,,,,
373381185,149.158628686,-21.1450420846,station,0,,Hume Streets Sub Station,,
171846476,149.014170186,-21.1596243258,station,0,,,,
171979185,148.539875727,-20.3885183532,substation,0,,,,
171735144,152.348989564,-25.5108449286,substation,0,,,,
173551375,152.366868738,-25.255214731,station,0,,Isis substation,,
171002668,152.247385284,-25.6904976475,station,0,,,,
171734315,152.258517989,-26.0813575657,substation,0,,Kilkivan Substation,,
45727591,151.20409782,-33.7387566639,substation,0,,,,
121671797,152.835516085,-31.4499073706,station,0,,Transgrid Port Macquarie Substation,,
205011577,152.819598545,-31.0984583628,substation,132000,50,Kempsey subtransmission substation,TransGrid,
312551544,142.179331568,-38.179491567,station,0,,,,
452155002,151.43778963,-33.267296182,substation,0,,,,
254440062,151.433265513,-33.3080678627,station,0,,,,
377141169,151.492058177,-33.2446915689,substation,0,,Charmhaven Zone Substation,,
69034090,151.27368533,-23.8863433851,station,0,,,,
119996556,150.627376096,-24.3340920479,plant,0,,Callide Power Station A,,
54674751,151.216564708,-23.8497958891,substation,0,,Gladstone Power Station Sub Station,Powerlink Queensland,
161829167,151.370741582,-33.3499414267,substation,0,,Ourimbah Substation,,
179068556,151.105834139,-33.6977801681,substation,0,,Hornsby Substation,,
178929982,151.146108779,-33.6314479477,substation,0,,,,
179085999,151.057596264,-33.7387231039,substation,0,,,,
50334999,146.018819287,-35.9787373023,station,0,,Transgrid Mulwala Substation,,
108712269,147.032538165,-36.1054316872,substation,0,,,,
205012114,153.001187234,-30.4624904912,substation,0,,Raleigh substation,,
205012118,153.067358947,-30.3451894252,substation,0,,Boambee substation,,
255998100,150.776988365,-34.5830214922,substation,132000;33000,50,Mount Terry Transmission Substation,Endeavour Energy,
172620016,150.781271027,-34.5341053991,substation,330000;132000,50,Dapto Transmission Substation,Transgrid,
239285915,151.765107833,-32.8152433021,substation,0,,,,
166089888,151.637902771,-32.7995130002,substation,0,,Beresfield Substransmission Substation,,
255998114,150.86655431,-34.4637463707,substation,0,,BOC Substation,BOC,
142733661,150.860468835,-34.459077327,substation,132000;33000,50,Springhill Transmission Substation,Endeavour Energy,
174246471,147.422683975,-35.0765981774,station,0,,,,
363077936,148.313237475,-34.5417336026,substation,132000,,,,
174246481,147.381457894,-35.126408867,substation,0,,,,
180773850,147.550779751,-34.4606788524,station,0,,,,
160295596,150.052860561,-34.6153368189,substation,330000;132000,,Marulan Transmission Substation,,
267376696,150.406800443,-34.5524474841,substation,132000;33000,,Fairfax Lane Transmission Substation,Endeavour Energy,
170407602,136.831446768,-31.234707831,station,0,,,,
170407657,136.801832154,-31.147205483,station,0,,,,
164764363,137.81288565,-32.536289498,substation,0,,,,
439689405,149.140251019,-36.2182906665,substation,132000,50,Cooma,,
173401274,148.629723484,-32.2693760559,sub_station,0,,,,
174991765,148.629508195,-32.2487290305,sub_station,0,,,,
83991232,153.068835758,-26.4027070114,substation,0,,,,
169408193,150.026206503,-33.3639734931,substation,0,,,,
174239045,150.02254508,-33.351215866,substation,0,,,,
172245698,146.852982264,-19.3510994,substation,0,,,,
171845369,147.212679351,-19.838395531,station,0,,,,
172246523,146.850942669,-19.3377477096,generator,0,,,,
172246489,146.888530676,-19.3354059507,station,0,,,,
242555644,151.479543702,-32.7855764248,substation,0,,,,
164775125,139.127361188,-33.9558728143,station,0,,,,
164774384,138.876588739,-33.9898567232,station,0,,,,
234528471,146.396438294,-34.6024751089,station,0,,,,
164025782,146.109667269,-34.3154941603,station,0,,,,
169416665,146.034587222,-34.649016556,station,0,,,,
196583887,145.578931592,-17.7673688202,sub_station,132000,,132 kV Kareeya,,
196583889,145.526289156,-17.8011348754,sub_station,275000,,275 kV Chalumbin,,
172998381,139.266472554,-35.0648525894,station,0,,,,
75514732,139.492332973,-35.2708894831,station,0,,,Electranet,
298020591,147.472860417,-20.3652560502,station,0,,,,
255775145,150.807245327,-34.5221832935,substation,132000,50,Tallawarra Substation,,
227898159,150.881991577,-34.3413392742,substation,132000;33000,50,Bellambi Transmission Substation,Endeavour Energy,
224945355,115.953745628,-31.9961749926,substation,0,,,,
225196539,115.901901468,-31.9629661299,substation,0,,,,
171581252,153.24345945,-28.8190135021,substation,0,,,,
