l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,352914403,171051386,138000,3,line,60,,,118.0,,,,,
2,176989431,176989433,138000,3,line,60,,,2128.0,,,,,
3,176989429,176989433,138000,3,line,60,,,330.0,,,,,
4,389825765,389825772,161000,3,line,60,,Missouri Power & Light Company,14916.0,,,,,
5,170618757,177041271,161000,3,line,60,-Central Electric Power Co-Op,Central Electric Power Co-Op,19158.0,,,,,Yes
6,170618757,389953566,161000,3,line,60,,Central Electric Power Co-Op,28685.0,,,,,Yes
7,177041271,387274551,161000,3,line,60,,Central Electric Power Co-Op,12944.0,,,,,
8,401465628,389825772,161000,3,line,60,,Missouri Power & Light Company,22535.0,,,,,
9,401465628,153441839,161000,3,line,60,,Missouri Power & Light Company,6229.0,,,,,
10,387463454,170618739,161000,3,line,60,,Missouri Power & Light Company,15092.0,,,,,
11,387463454,389953566,161000,3,line,60,,Missouri Power & Light Company,23692.0,,,,,
12,168947491,168949667,161000,3,line,60,Morgan - Brookline,,42500.0,,,,,
13,176989427,176989390,345000,6,line,60,,Missouri Power & Light Company,21183.0,,,,,Yes
14,176989427,386732340,345000,6,line,60,,Missouri Power & Light Company,11675.0,,,,,Yes
15,153441839,356980822,161000,3,line,60,,,23220.0,,,,,
16,448035504,168241735,161000,3,line,60,,,788.0,,,,,
17,70008307,107737381,161000,6,line,60,,,8993.0,,,,,Yes
18,70008307,69364052,161000,3,line,60,,,17546.0,,,,,
19,70008307,164729296,161000,3,line,60,,,21684.0,,,,,
20,386732340,389953566,161000,6,line,60,,Missouri Power & Light Company,42741.0,,,,,Yes
21,62250933,449938174,161000,3,line,60,,,172.0,,,,,
22,387274551,387252675,161000,3,line,60,,Central Electric Power Co-Op,15073.0,,,,,
23,164215232,164215234,161000,3,line,,,,138.0,,,,,
24,401489189,192699990,161000,6,line,60,,,7628.0,,,,,Yes
25,401489189,176989390,345000,6,line,60,,Missouri Power & Light Company,8635.0,,,,,Yes
26,401489189,176989431,345000,6,line,60,,,11923.0,,,,,Yes
27,269997257,450033974,161000,3,line,,Junction - Nichols,,4238.0,,,,,
28,450033974,269760222,161000,3,line,,Junction - FIXME,,3248.0,,,,,
29,450033974,168949667,161000,3,line,60,Brookline - Junction,,5433.0,,,,,
30,169031890,168949667,161000,3,line,60,Brookline - FIXME,,2852.0,,,,,
31,69364052,247768571,161000,3,line,60,,,7241.0,,,,,
32,69364052,247768570,161000,6,line,60,,,2647.0,,,,,Yes
33,62250593,65199610,161000,3,line,60,,,1949.0,,,,,
34,60692452,60692458,161000,3,line,60,,,301.0,,,,,
35,220823014,220823015,161000,,line,,,,26873.0,,,,,
36,389825772,170618739,161000,3,line,60,,Missouri Power & Light Company,61233.0,,,,,
37,123494639,123572983,161000,3,line,60,Platte City - Stranger Creek 161kv,,41266.0,,,,,
38,104477440,105851849,345000,3,line,60,Saint Joseph - Fairport 345kv,,44703.0,,,,,
39,104477440,165469709,345000,3,line,60,Cooper - Saint Joseph 345kv,,76619.0,,,,,
40,104477440,449938178,345000,6,line,60,,,77893.0,,,,,Yes
41,104477440,62250593,345000,3,line,60,,,106095.0,,,,,
42,169514880,50823589,345000,3,line,60,,,78984.0,,,,,
43,169514880,168947491,345000,3,line,60,Morgan - FIXME,,77584.0,,,,,
44,171051394,98666633,345000,6,line,60,,,18560.0,,,,,Yes
45,171051394,422852281,345000,6,line,60,,,21011.0,,,,,Yes
46,173388118,173548418,345000,3,line,60,,,2855.0,,,,,
47,173388118,173547665,345000,6,line,60,,,20832.0,,,,,Yes
48,173388118,173547666,345000,6,line,60,,,53452.0,,,,,Yes
49,173388118,173337802,345000,3,line,60,,,27153.0,,,,,
50,173388118,176900411,345000,3,line,60,,,48659.0,,,,,
51,164779015,168947491,345000,3,line,60,Morgan - Neosho,,79540.0,,,,,
52,98666633,28609239,345000,6,line,60,,,35306.0,,,,,Yes
53,165469706,165469709,345000,3,line,60,Cooper - Atchison 345kv,,28404.0,,,,,
54,28609239,176989433,345000,6,line,60,,,37488.0,,,,,Yes
55,28609239,176915614,345000,3,line,60,,,20404.0,,,,,
56,165469709,105851849,345000,3,line,60,Cooper - Fairport 345kv,,44755.0,,,,,
57,170674903,170618739,345000,3,line,60,,,79659.0,,,,,
58,173547666,171002581,345000,6,line,60,,,39116.0,,,,,Yes
59,168947491,168949667,345000,6,line,60,Morgan - Brookline,,47728.0,,,,,
60,170636224,170537578,345000,6,line,60,,,66719.0,,,,,Yes
61,170636224,384676406,345000,6,line,60,,,50872.0,,,,,Yes
